id,landlord_id,offer_type,property_type,title,price_lakh,dimensions,region,township,quarter,landmarks,is_boosted,is_presale
1,777,sale,house,Modern 2-Story Home,1500,40x60 ft,Yangon,Hlaing,Ward 2,"['Main Road', 'Near MICT']",True,False
2,888,rent,condo,Luxury Condo with View,12,1200 sqft,Yangon,Bahan,Ward 1,"['Shwedagon View', 'Marketplace']",False,False
3,999,sale,land,Corner Plot Investment,5000,80x100 ft,Mandalay,Patheingyi,N/A,"['Corner Plot', 'New Dev']",False,True
4,777,rent,apartment,Budget Studio,5,15x50 ft,Yangon,Sanchaung,Ward 5,"['Hledan Station', 'Street 32']",False,False
5,888,rent,warehouse,Spacious Storage,35,60x100 ft,Yangon,Hlaing Tharyar,Zone 1,"['Industrial Zone 1']",False,False
6,101,sale,house,Classic Teak House,2200,50x70 ft,Yangon,Mayangone,Ward 3,"['Ocean Supercenter']",True,False
7,202,rent,apartment,Downtown Office Space,8,20x60 ft,Yangon,Kyauktada,Ward 4,"['Sule Pagoda']",False,False
8,303,sale,condo,River View Penthouse,4500,2500 sqft,Yangon,Seikkan,Ward 1,"['Riverfront']",True,False
9,404,sale,land,Industrial Land Plot,8000,100x200 ft,Bago,Industrial Area,N/A,"['Near Highway']",False,False
10,505,rent,house,Garden Villa,25,60x80 ft,Yangon,Yankin,Ward 8,"['Near Inya Lake']",False,False
